SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230302|2I65BYEB7_5Y_DS50|"IG39 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYEB7|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|76.2|76.25|75.55|75.55|USD|225000000.0|225000000|225000000|225000000|0|225000000|225000000|0|5|5|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717711|"OD EUR vs. JPY Call at a strike of 150"|FX|O||EURJPY||EUR|CASH||N|N|||P|252500|265000|252500|265000|EUR|200000000.0|200000000|213140016|0|213140016|213140016|0|213140016|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717714|"1M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|208125|208125|208125|208125|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717715|"1M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|201750|201750|201750|201750|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717716|"3M AUD vs. JPY Put at a delta of 50"|FX|O||AUDJPY||AUD|CASH||N|N|||P|366375|366375|366375|366375|AUD|750000000|15000000|505950016|0|505950016|10119000|0|10119000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717717|"3M AUD vs. JPY Call at a delta of 50"|FX|O||AUDJPY||AUD|CASH||N|N|||P|399375|399375|399375|399375|AUD|750000000|15000000|505950016|0|505950016|10119000|0|10119000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717718|"1M EUR vs. JPY Put at a delta of 10"|FX|O||EURJPY||EUR|CASH||N|N|||P|52500|52500|52500|52500|EUR|300000000|30000000|319710016|0|319710016|31971002|0|31971002|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717720|"1W USD vs. JPY Call at a strike of 133.3"|FX|O||USDJPY||USD|CASH||N|N|||P|37500|37500|37500|37500|USD|100000000.0|100000000|100000000|0|100000000|100000000|0|100000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717722|"OD USD vs. JPY Put at a strike of 136.1"|FX|SPEX|BR|USDJPY||USD|CASH||N|N|||P|2362500|2362500|2362500|2362500|USD|5000000.0|5000000|5000000|0|5000000|5000000|0|5000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717724|"1Y USD vs. CNH Put at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|385125|385125|385125|385125|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717725|"1Y USD vs. CNH Call at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|356437.5|356437.5|356437.5|356437.5|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230301|20230301|717727|"3M USD vs. TWD Put at a delta of 50"|FX|NDO||USDTWD||USD|CASH||N|N|||P|155500|230250|155500|230250|USD|1250000000|25000000|1250000000|0|1250000000|25000000|0|25000000|2|0|2
