SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230308|2I65BRZH6_5Y_DS50|"HY39 V1 5Y CD "|CD|INDX|CDX|CDXIG|2I65BRZH6|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|102.305|102.375|102.105|102.105|USD|40000000.0|40000000|40000000|40000000|0|40000000|40000000|0|5|5|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230308|2I65BYEB7_5Y_DS50|"IG39 5Y CD "|CD|INDX|CDX|CDXIG|2I65BYEB7|USD|CASH||N|N|IntercontinentalExchange, Inc.|549300R4IG1TWPZT5U32|O|72.45|73|72.45|73|USD|225000000.0|225000000|225000000|225000000|0|225000000|225000000|0|6|6|0
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718504|"OD AUD vs. USD Put at a strike of 0.672"|FX|O||AUDUSD||AUD|CASH||N|N|||P|315000|315000|135000|135000|AUD|210000000.0|210000000|138432000|0|138432000|138432000|0|138432000|5|0|5
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718505|"OD AUD vs. USD Put at a strike of 0.673"|FX|O||AUDUSD||AUD|CASH||N|N|||P|416500|416500|178500|178500|AUD|210000000.0|210000000|138432000|0|138432000|138432000|0|138432000|5|0|5
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718508|"2M USD vs. KRW Put at a delta of 25"|FX|NDO||USDKRW||USD|CASH||N|N|||P|146500|146500|146500|146500|USD|500000000|20000000|500000000|0|500000000|20000000|0|20000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718509|"2M USD vs. KRW Call at a delta of 25"|FX|NDO||USDKRW||USD|CASH||N|N|||P|128250|128250|128250|128250|USD|500000000|20000000|500000000|0|500000000|20000000|0|20000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718511|"OD USD vs. CNH Put at a strike of 6.996"|FX|O||USDCNH||USD|CASH||N|N|||P|191250|195000|191250|193750|USD|300000000.0|300000000|300000000|0|300000000|300000000|0|300000000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718512|"OD USD vs. CNH Call at a strike of 6.91"|FX|O||USDCNH||USD|CASH||N|N|||P|300950|300950|297700|300950|USD|156000000.0|156000000|156000000|0|156000000|156000000|0|156000000|3|0|3
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718517|"1W USD vs. CNH Put at a strike of 7"|FX|O||USDCNH||USD|CASH||N|N|||P|109687.5|109687.5|109687.5|109687.5|USD|75000000.0|75000000|75000000|0|75000000|75000000|0|75000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20230307|20230307|718519|"1W AUD vs. JPY Call at a strike of 91.65"|FX|O||AUDJPY||AUD|CASH||N|N|||P|787500|787500|787500|787500|AUD|100000000.0|100000000|65920000|0|65920000|65920000|0|65920000|1|0|1
